stopword & Stemming,"after_N-Gram(1,2)"
"['roboguru', 'beli', 'paket']","['roboguru', 'roboguru beli', 'beli', 'beli paket', 'paket']"
"['bantu', 'jaya', 'ruang', 'guru']","['bantu', 'bantu jaya', 'jaya', 'jaya ruang', 'ruang', 'ruang guru', 'guru']"
"['video', 'putar', 'unduh']","['video', 'video putar', 'putar', 'putar unduh', 'unduh']"
"['eror', 'video', 'nyesel', 'gue', 'maka', 'ruang', 'guru']","['eror', 'eror video', 'video', 'video nyesel', 'nyesel', 'nyesel gue', 'gue', 'gue maka', 'maka', 'maka ruang', 'ruang', 'ruang guru', 'guru']"
"['keren', 'banget', 'pokok']","['keren', 'keren banget', 'banget', 'banget pokok', 'pokok']"
['bagus'],['bagus']
"['aplikasihnya', 'guna', 'olimpiade', 'ambon', 'aplikasihnya', 'guna', 'kasih', 'rating', '5', 'bintang', 'terimaiasih', 'aplikasi', 'guna', 'terimakasih', 'buat', 'ruang', 'guru', 'mantap']","['aplikasihnya', 'aplikasihnya guna', 'guna', 'guna olimpiade', 'olimpiade', 'olimpiade ambon', 'ambon', 'ambon aplikasihnya', 'aplikasihnya', 'aplikasihnya guna', 'guna', 'guna kasih', 'kasih', 'kasih rating', 'rating', 'rating 5', '5', '5 bintang', 'bintang', 'bintang terimaiasih', 'terimaiasih', 'terimaiasih aplikasi', 'aplikasi', 'aplikasi guna', 'guna', 'guna terimakasih', 'terimakasih', 'terimakasih buat', 'buat', 'buat ruang', 'ruang', 'ruang guru', 'guru', 'guru mantap', 'mantap']"
"['keluh', 'link', 'web', 'xdari', 'notifikasi', 'ruangguru', 'buka', 'semuakesel', 'bet', 'nyoba', 'pindah', 'lokasi', 'siyalnya', 'full', 'loading', 'errorpleaselah', 'tolong', 'banget', 'jaga', 'nyaman', 'aplikasi', 'jugasebenernya', 'tinggal', 'jaring', 'ngebut', 'nyaman', 'pakai', 'ruangguru']","['keluh', 'keluh link', 'link', 'link web', 'web', 'web xdari', 'xdari', 'xdari notifikasi', 'notifikasi', 'notifikasi ruangguru', 'ruangguru', 'ruangguru buka', 'buka', 'buka semuakesel', 'semuakesel', 'semuakesel bet', 'bet', 'bet nyoba', 'nyoba', 'nyoba pindah', 'pindah', 'pindah lokasi', 'lokasi', 'lokasi siyalnya', 'siyalnya', 'siyalnya full', 'full', 'full loading', 'loading', 'loading errorpleaselah', 'errorpleaselah', 'errorpleaselah tolong', 'tolong', 'tolong banget', 'banget', 'banget jaga', 'jaga', 'jaga nyaman', 'nyaman', 'nyaman aplikasi', 'aplikasi', 'aplikasi jugasebenernya', 'jugasebenernya', 'jugasebenernya tinggal', 'tinggal', 'tinggal jaring', 'jaring', 'jaring ngebut', 'ngebut', 'ngebut nyaman', 'nyaman', 'nyaman pakai', 'pakai', 'pakai ruangguru', 'ruangguru']"
"['pc', 'letak', 'drill']","['pc', 'pc letak', 'letak', 'letak drill', 'drill']"
['bagus'],['bagus']
"['maksa', 'langgan']","['maksa', 'maksa langgan', 'langgan']"
"['keren', 'banget', 'bosenin']","['keren', 'keren banget', 'banget', 'banget bosenin', 'bosenin']"
"['senang', 'suka', 'ajar', 'ajar', 'terimakasih', 'ruang', 'guru', 'baik']","['senang', 'senang suka', 'suka', 'suka ajar', 'ajar', 'ajar ajar', 'ajar', 'ajar terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru', 'guru baik', 'baik']"
"['bagus', 'video', 'baik', 'dunia', 'pickup', 'sayang', 'milik', 'tingkat', 'sistem', 'operasi', 'militer', 'politik', 'usaha', 'derita', 'sakit', 'hati', 'je', 'liga', 'champions', 'uefa', 'musim', 'panas', 'orang2', 'iman', 'amal', 'soleh', 'solehah']","['bagus', 'bagus video', 'video', 'video baik', 'baik', 'baik dunia', 'dunia', 'dunia pickup', 'pickup', 'pickup sayang', 'sayang', 'sayang milik', 'milik', 'milik tingkat', 'tingkat', 'tingkat sistem', 'sistem', 'sistem operasi', 'operasi', 'operasi militer', 'militer', 'militer politik', 'politik', 'politik usaha', 'usaha', 'usaha derita', 'derita', 'derita sakit', 'sakit', 'sakit hati', 'hati', 'hati je', 'je', 'je liga', 'liga', 'liga champions', 'champions', 'champions uefa', 'uefa', 'uefa musim', 'musim', 'musim panas', 'panas', 'panas orang2', 'orang2', 'orang2 iman', 'iman', 'iman amal', 'amal', 'amal soleh', 'soleh', 'soleh solehah', 'solehah']"
"['jawab', 'salah']","['jawab', 'jawab salah', 'salah']"
"['kasih', 'ar', 'salah', 'ulang', '92', 'buruk']","['kasih', 'kasih ar', 'ar', 'ar salah', 'salah', 'salah ulang', 'ulang', 'ulang 92', '92', '92 buruk', 'buruk']"
"['aplikasi', 'bantu', 'bantu', 'ajar']","['aplikasi', 'aplikasi bantu', 'bantu', 'bantu bantu', 'bantu', 'bantu ajar', 'ajar']"
['mejing'],['mejing']
"['udh', 'bagus', 'kadang', 'quiznya', 'error', 'bener', 'dapet', 'xp']","['udh', 'udh bagus', 'bagus', 'bagus kadang', 'kadang', 'kadang quiznya', 'quiznya', 'quiznya error', 'error', 'error bener', 'bener', 'bener dapet', 'dapet', 'dapet xp', 'xp']"
